Kategorie / Anwendungsbereich;Hersteller / Produkt;Version;Seit Release;Status;Lizenz;Erläuterung
JEE API (Nutzung über Tomcat);https://javaee.github.io/servlet-spec/[Servlet API];3.1.x;1.3.1;verbindlich;CDDL + GPLv2 with classpath exception;
JEE API;https://github.com/javaee/jpa-spec[JPA];<<spring-boot-dependencies,icon:leaf[]>>;2.2.0;verbindlich;Eclipse Public License v1.0;
JEE API;https://github.com/javaee/jta-spec[JTA];<<spring-boot-dependencies,icon:leaf[]>>;2.2.0;verbindlich;CDDL + GPLv2 with classpath exception;
JEE API;https://projects.eclipse.org/projects/ee4j.ca[Jakarta Annotations];1.3.5;3.0.0;verbindlich;Eclipse Public License v2.0;Nur einzusetzen, falls das JDK die Annotationen nicht mehr bereitstellt.
Caching;https://docs.spring.io/spring-framework/docs/4.3.x/spring-framework-reference/html/cache.html[Spring Cache Abstraction];<<spring-boot-dependencies,icon:leaf[]>>;4.0.0;verbindlich;Apache 2.0 Software License;
Caching;http://www.ehcache.org/[EHCache];<<spring-boot-dependencies,icon:leaf[]>>;1.3.2;empfohlen;Apache 2.0 Software License;
Anwendungs-framework;https://spring.io/projects/spring-boot[Spring Boot];3.2.x;4.0.0;verbindlich;Apache Software License;
"Anwendungs-framework +
Test-Framework";https://spring.io/projects/spring-framework[Spring];<<spring-boot-dependencies,icon:leaf[]>>;2.4.0;verbindlich;Apache Software License;"* Die Kategorie Test-Framework bezieht sich auf die Features von Spring zur Testunterstützung.
* Die folgenden Bestandteile des Spring Frameworks sind durch Architektur-entscheidungen explizit zur Nutzung freigegeben."
Service-Framework;https://docs.spring.io/spring-framework/docs/current/reference/html/web.html#mvc[Spring Web MVC];<<spring-boot-dependencies,icon:leaf[]>>;2.4.0;verbindlich;Apache Software License;Spring Web MVC wird zur Bereitstellung von Services genutzt.
Service-Framework;https://docs.spring.io/spring-framework/docs/current/reference/html/web-reactive.html#webflux-client[Spring WebClient];<<spring-boot-dependencies,icon:leaf[]>>;2.4.0;verbindlich;Apache Software License;Spring WebClient (ein Bestandteil von Spring WebFlux) wird zum Konsumieren von Services genutzt.
HTTP-Client;https://hc.apache.org/httpcomponents-client-5.1.x[Apache Http-Components HttpClient];<<spring-boot-dependencies,icon:leaf[]>>;2.4.0;verbindlich;Apache Software License;Muss anstelle von Netty als HTTP-Client für Spring WebClient verwendet werden.
Persistenz-Framework;https://spring.io/projects/spring-data-jpa[Spring Data JPA];<<spring-boot-dependencies,icon:leaf[]>>;3.0.0;verbindlich;Apache Software License;
Persistenz-Framework;http://www.hibernate.org[Hibernate];<<spring-boot-dependencies,icon:leaf[]>>;3.0.0;verbindlich;LGPL v2.1;
Persistenz;https://www.liquibase.org[Liquibase];<<spring-boot-dependencies,icon:leaf[]>>;3.0.0;verbindlich;Apache Software License;
JSON-Verarbeitung;https://github.com/FasterXML/jackson[Jackson];<<spring-boot-dependencies,icon:leaf[]>>;2.4.0;verbindlich;Apache Software License;
Authentifizierung / Autorisierung;http://projects.spring.io/spring-security/[Spring Security];<<spring-boot-dependencies,icon:leaf[]>>;3.0.0;verbindlich;Apache Software License;
Resilience-Framework;https://resilience4j.readme.io/[Resilience4J];1.x;2.2.0;verbindlich;Apache Software License;
Web-Service Framework (SOAP);https://projects.eclipse.org/projects/ee4j.metro/[Eclipse Metro];2.4.9;3.0.0;verbindlich;Eclipse Distribution License 1.0;
Logging;http://www.slf4j.org/[SLF4J];"<<spring-boot-dependencies,icon:leaf[]>>";4.0.0;verbindlich;MIT License;"* Die Verwendung anderer Logging-Backends außer Logback ist nicht erlaubt.
* Die Verwendung der Logging Bridges ist erlaubt, sofern dies erforderlich ist."
Logging;http://logback.qos.ch/[Logback];"<<spring-boot-dependencies,icon:leaf[]>>";2.4.0;verbindlich;"EPL v1.0, LGPL 2.1";
Bean-Mapping;https://mapstruct.org/[MapStruct];1.5.x;4.0.0;verbindlich;Apache License 2.0;MapStruct ist ein Annotation-Processor, d.h. Mappings werden zur Compilezeit erzeugt.
Code-Generierung;https://github.com/mkarneim/pojobuilder[pojobuilder];4.x;2.4.0;empfohlen;PUBLIC DOMAIN;pojobuilder generiert Code nach dem Builder-Pattern für bestehende Klassen.
Code-Generierung;https://projectlombok.org/[Lombok];<<spring-boot-dependencies,icon:leaf[]>>;2.4.0;empfohlen;MIT License;Lombok kann ebenfalls das Builder-Pattern umsetzen, besitzt aber darüber hinaus deutlich mehr Funktionen als pojobuilder. Hinweis: Lombok kann uneingeschränkt mit der IsyFact genutzt werden. Für eine bessere Lesbarkeit wird Lombok in den IsyFact-Bibliotheken ausschließlich im Test-Scope, sowie in den IsyFact-Anwendungen verwendet.
XML Binding;https://github.com/javaee/jaxb-v2[JAXB];<<spring-boot-dependencies,icon:leaf[]>>;2.2.0;verbindlich;CDDL + GPLv2 with classpath exception;
XML-Verarbeitung;https://www.oracle.com/java/technologies/jaxp-introduction.html[JAXP];;1.0.0;verbindlich;GPL v2;
XML-Serialisierung;https://x-stream.github.io/[XStream];1.4.x;4.0.0;verbindlich;BSD;Darf nicht für die (De-)Serialisierung der hauptsächlichen fachlichen Business-Objekte / XML-Nachrichten eingesetzt werden, stattdessen JAXB. Einsatzzweck ist leichtgewichtige Serialisierung Java -> XML, z.B. für die Anzeige von Objekten in einer GUI oder Erzeugung von Testdaten.
Excel-Datenzugriff;http://poi.apache.org/[Apache POI];4.1.x;2.1.0;verbindlich;;
Excel-Datenzugriff;http://poi.apache.org/[Apache POI OOXML];4.1.x;2.4.0;verbindlich;;
CSV-Verarbeitung;http://opencsv.sourceforge.net/[OpenCSV];5.9.x;3.0.1;verbindlich;Apache Software License;
Utility-API;https://github.com/google/guava[Guava];33.3.x;4.0.0;verbindlich;Apache Software License;"Einsatz und Umfang der genutzten Features ist jeweils abzustimmen. Generell genutzt werden darf:

* Collection-APIs
* String Funktionen

Bibliothek mit Utilities zur Lösung gängiger Programmierprobleme, insbesondere im Umgang mit Collections."
