Kategorie / Anwendungsbereich;Hersteller / Produkt;Version;Seit Release;Status;Lizenz;Erläuterung
JEE API (Nutzung über Tomcat);https://javaee.github.io/servlet-spec/[Servlet API];3.1.x;1.3.1;verbindlich;CDDL + GPLv2 with classpath exception;
JEE API (Nutzung über Tomcat);https://javaee.github.io/uel-ri/[Expression Language];3.0.x;2.2.0;verbindlich;CDDL + GPLv2 with classpath exception;* Expression Lanuage für die Entwicklung von Web-GUIs mit JSF
JEE API;https://github.com/javaee/jpa-spec[JPA];2.2;2.2.0;verbindlich;Eclipse Public License v1.0;* Verwaltung der Version über Spring Boot.
JEE API;https://github.com/javaee/jta-spec[JTA];1.3;2.2.0;verbindlich;CDDL + GPLv2 with classpath exception;* Verwaltung der Version über Spring Boot.
Caching;http://www.ehcache.org/[EHCache];3.x;1.3.2;verbindlich;Apache 2.0 Software License;* Verwaltung der Version über Spring Boot.
JSF-Dialogsteuerung;https://projects.spring.io/spring-webflow/[Spring Webflow];2.5.x (?2.5.1);2.0.0;verbindlich;Apache Software License;
JSF-Implementierung;https://javaee.github.io/javaserverfaces-spec/[Oracle Mojarra JavaServer Faces];2.2.x;1.0.0;verbindlich;CDDL+GPL License;* Referenz-implementierung für JSF von Oracle
JSF-Implementierung Zusatz;https://myfaces.apache.org/#/inactiveProjects?id=apache-myfaces-tomahawk[Apache MyFaces Tomahawk for JSF 2.0.];1.1.x;1.0.0;verbindlich;Apache Software License;* Implementiert JSF 2.0 (JSF 2.0 seit 12/2009 verfügbar)
Javascript Bibliothek;http://jquery.com[Jquery];3.4.x;1.7.0;verbindlich;MIT;* Die zugelassenen Einsatzbereiche von Javascript sind im Web-GUI-Konzept beschrieben.
Javascript Bibliothek;http://jonthornton.github.io/jquery-timepicker/[JQuery-Timepicker];1.1.x;1.0.0;verbindlich;MIT;* Plugin für JQuery
HTML/CSS/JS Framework;http://getbootstrap.com/[Bootstrap];3.4.x;1.7.0;verbindlich;MIT;* Die zugelassenen Einsatzbereiche von HTML sind im Web-GUI-Konzept beschrieben.
